,r1,wave,theta,phi,t,p
191,0.34550000000000003,4.0,0.0,0.0,0.6992508261686493,2.4363565925565602
192,0.346,4.0,0.0,0.0,0.7013683866145164,2.4502168614008246
193,0.3465,4.0,0.0,0.0,0.7035141621121217,2.4642633191930514
194,0.34700000000000003,4.0,0.0,0.0,0.7056867414111408,2.4784994245587186
195,0.34750000000000003,4.0,0.0,0.0,0.7078845659857549,2.492928625867593
196,0.348,4.0,0.0,0.0,0.7101059222608422,2.5075543524090156
197,0.34850000000000003,4.0,0.0,0.0,0.7123489337793988,2.522380004773973
198,0.34900000000000003,4.0,0.0,0.0,0.7146115533617929,2.537408944408279
199,0.3495,4.0,0.0,0.0,0.7168915553154545,2.5526444822999834
200,0.35000000000000003,4.0,0.0,0.0,0.7191865277620598,2.568089866770209
201,0.35050000000000003,4.0,0.0,0.0,0.7214938651580712,2.58374827033719
202,0.351,4.0,0.0,0.0,0.7238107610940683,2.59962277562921
203,0.35150000000000003,4.0,0.0,0.0,0.7261342014680959,2.615716360327206
204,0.35200000000000004,4.0,0.0,0.0,0.7284609581384514,2.632031881124106
205,0.35250000000000004,4.0,0.0,0.0,0.7307875831715661,2.648572056695531
206,0.353,4.0,0.0,0.0,0.733110403811038,2.665339449685784
207,0.35350000000000004,4.0,0.0,0.0,0.7354255183041264,2.6823364477236336
208,0.35400000000000004,4.0,0.0,0.0,0.7377287927313644,2.699565243492969
209,0.3545,4.0,0.0,0.0,0.7400158589944987,2.7170278138984996
210,0.355,4.0,0.0,0.0,0.7422821141253931,2.734725898379693
211,0.35550000000000004,4.0,0.0,0.0,0.7445227210855293,2.752660976443704
212,0.35600000000000004,4.0,0.0,0.0,0.7467326112303156,2.7708342445050107
213,0.3565,4.0,0.0,0.0,0.7489064886151645,2.7892465921388427
214,0.35700000000000004,4.0,0.0,0.0,0.7510388363201697,2.807898577876615
215,0.35750000000000004,4.0,0.0,0.0,0.753123924966907,2.8267904046906023
216,0.358,4.0,0.0,0.0,0.7551558235943832,2.8459218953413257
217,0.35850000000000004,4.0,0.0,0.0,0.7571284130496776,2.8652924677787683
218,0.35900000000000004,4.0,0.0,0.0,0.7590354020340263,2.884901110816238
219,0.3595,4.0,0.0,0.0,0.7608703459240207,2.9047463603142605
220,0.36000000000000004,4.0,0.0,0.0,0.7626266684625328,2.924826276135766
221,0.36050000000000004,4.0,0.0,0.0,0.7642976863823302,2.9451384201523334
222,0.36100000000000004,4.0,0.0,0.0,0.7658766369890458,2.9656798355999423
223,0.3615,4.0,0.0,0.0,0.7673567086877293,2.9864470280976
